,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
130,2018-07-02 21:00:00-05:00,50716,1.16392,1.1673,1.16205,1.1659,1.16365,1.16724,1.16197,1.1656,1.1642,1.16737,1.16213,1.16619
131,2018-07-03 21:00:00-05:00,47730,1.1659,1.16818,1.16304,1.1656,1.1656,1.16812,1.16297,1.16533,1.16619,1.16825,1.16312,1.16586
132,2018-07-04 21:00:00-05:00,56477,1.1656,1.17202,1.165,1.16918,1.16533,1.17195,1.16493,1.16891,1.16586,1.1721,1.16507,1.16946
133,2018-07-05 21:00:00-05:00,53246,1.16918,1.17684,1.16798,1.17457,1.16891,1.17671,1.16791,1.17427,1.16946,1.17702,1.16806,1.17487
134,2018-07-08 21:00:00-05:00,48280,1.17457,1.17908,1.17326,1.17509,1.17427,1.17901,1.17316,1.17479,1.17487,1.17915,1.17333,1.17539
135,2018-07-09 21:00:00-05:00,44005,1.17509,1.17628,1.16904,1.17444,1.17479,1.17621,1.16895,1.17414,1.17539,1.17635,1.1691,1.17473
136,2018-07-10 21:00:00-05:00,66462,1.17444,1.17588,1.16656,1.16743,1.17414,1.17581,1.16649,1.16713,1.17473,1.17595,1.16662,1.16773
137,2018-07-11 21:00:00-05:00,56354,1.16743,1.16962,1.16496,1.16719,1.16713,1.16952,1.16488,1.16689,1.16773,1.16971,1.16504,1.16749
138,2018-07-12 21:00:00-05:00,51209,1.16719,1.16873,1.16128,1.16858,1.16689,1.16861,1.16119,1.16828,1.16749,1.16892,1.16134,1.16888
139,2018-07-15 21:00:00-05:00,44882,1.16858,1.17256,1.16758,1.17112,1.16828,1.1725,1.1675,1.17088,1.16888,1.17262,1.16764,1.17136
140,2018-07-16 21:00:00-05:00,52923,1.17112,1.17448,1.16494,1.16618,1.17088,1.17442,1.16485,1.16593,1.17136,1.17454,1.16502,1.16642
141,2018-07-17 21:00:00-05:00,52562,1.16618,1.16652,1.16018,1.16392,1.16593,1.16645,1.16012,1.16362,1.16642,1.16659,1.16025,1.16422
142,2018-07-18 21:00:00-05:00,80187,1.16392,1.16789,1.15748,1.16418,1.16362,1.16778,1.15741,1.16388,1.16422,1.168,1.15756,1.16448
143,2018-07-19 21:00:00-05:00,88988,1.16418,1.17386,1.16264,1.17227,1.16388,1.17379,1.16255,1.17197,1.16448,1.17393,1.16272,1.17257
144,2018-07-22 21:00:00-05:00,50640,1.17227,1.17514,1.16836,1.1691,1.17197,1.17501,1.16829,1.16884,1.17257,1.17534,1.16842,1.16936
145,2018-07-23 21:00:00-05:00,56073,1.1691,1.17168,1.16546,1.16831,1.16884,1.17162,1.16539,1.16801,1.16936,1.1718,1.16553,1.16861
146,2018-07-24 21:00:00-05:00,60380,1.16831,1.17388,1.16642,1.17297,1.16801,1.17381,1.16635,1.17269,1.16861,1.17395,1.16649,1.17325
147,2018-07-25 21:00:00-05:00,60116,1.17297,1.17438,1.16403,1.16416,1.17269,1.17432,1.16391,1.16391,1.17325,1.17446,1.16409,1.16441
148,2018-07-26 21:00:00-05:00,45995,1.16416,1.16644,1.16204,1.16568,1.16391,1.16637,1.16197,1.16538,1.16441,1.16651,1.16212,1.16598
149,2018-07-29 21:00:00-05:00,32520,1.16568,1.17188,1.16484,1.17053,1.16538,1.17181,1.16477,1.17023,1.16598,1.17194,1.1649,1.17083
150,2018-07-30 21:00:00-05:00,48742,1.17053,1.17462,1.16844,1.16908,1.17023,1.17455,1.16816,1.1688,1.17083,1.17471,1.1686,1.16935
151,2018-07-31 21:00:00-05:00,46203,1.16908,1.16996,1.16574,1.16592,1.1688,1.1699,1.16568,1.16568,1.16935,1.17003,1.1658,1.16617
152,2018-08-01 21:00:00-05:00,43238,1.16592,1.16676,1.15816,1.15844,1.16568,1.16669,1.15809,1.15829,1.16617,1.16684,1.15824,1.1586
153,2018-08-02 21:00:00-05:00,51501,1.15844,1.16109,1.15596,1.15674,1.15829,1.16102,1.15585,1.15644,1.1586,1.16116,1.15606,1.15704
